degisken,olcu,deger
girdi_klasik_A,n,10
girdi_klasik_A,ortalama,70
girdi_klasik_A,standart_sapma,6
girdi_klasik_B,n,10
girdi_klasik_B,ortalama,75
girdi_klasik_B,standart_sapma,7
girdi_klasik_C,n,10
girdi_klasik_C,ortalama,82
girdi_klasik_C,standart_sapma,5
girdi_welch_A,n,12
girdi_welch_A,ortalama,70
girdi_welch_A,standart_sapma,3
girdi_welch_B,n,20
girdi_welch_B,ortalama,76
girdi_welch_B,standart_sapma,10
girdi_welch_C,n,8
girdi_welch_C,ortalama,84
girdi_welch_C,standart_sapma,5
klasik,grup_sayisi,3
klasik,toplam_n,30
klasik,genel_ortalama,75.666666666666671
klasik,ss_grup,726.66666666666652
klasik,ss_hata,990
klasik,ss_toplam,1716.6666666666667
klasik,sd_grup,2
klasik,sd_hata,27
klasik,ms_grup,363.33333333333326
klasik,mse,36.666666666666657
klasik,f,9.9090909090909083
klasik,p,0.00059267208688559999
klasik,eta2,0.42330097087378638
klasik,omega2,0.37262357414448671
klasik,alfa,0.050000000000000003
klasik,q_kritik,3.5064261233541694
tukey_A-B,fark,-5
tukey_A-B,se_q,1.914854215512676
tukey_A-B,q,2.6111648393354674
tukey_A-B,yari_genislik,6.7142948436885019
tukey_A-B,alt,-11.714294843688505
tukey_A-B,ust,1.7142948436885028
tukey_A-B,p_duzeltilmis,0.1739547011949612
tukey_A-B,reddet,0
tukey_A-C,fark,-12
tukey_A-C,se_q,1.914854215512676
tukey_A-C,q,6.2667956144051216
tukey_A-C,yari_genislik,6.7142948436885019
tukey_A-C,alt,-18.714294843688503
tukey_A-C,ust,-5.2857051563114972
tukey_A-C,p_duzeltilmis,0.00040047916311029998
tukey_A-C,reddet,1
tukey_B-C,fark,-7
tukey_B-C,se_q,1.914854215512676
tukey_B-C,q,3.6556307750696551
tukey_B-C,yari_genislik,6.7142948436885019
tukey_B-C,alt,-13.714294843688505
tukey_B-C,ust,-0.28570515631149712
tukey_B-C,p_duzeltilmis,0.039741905849915299
tukey_B-C,reddet,1
welch,grup_sayisi,3
welch,toplam_n,40
welch,agirlik_toplami,1.8533333333333333
welch,agirlikli_merkez,73.064748201438846
welch,duzeltme,0.1468258164408249
welch,pay,26.256115107913669
welch,duzeltme_carpani,1.0367064541102062
welch,f,25.326470192036187
welch,sd_pay,2
welch,sd_payda,18.162110256280517
welch,p,5.5776863155412655e-06
welch,alfa,0.050000000000000003
