degisken,olcu,deger
n1,n,1
n1,B,10000
n1,merkez,9.850940110637485
n1,ampirik_se,10.00651768711954
n1,kuramsal_se,10.0
n1,varyans,100.0
n1,sapma,-0.14905988936251546
n5,n,5
n5,B,10000
n5,merkez,9.976486031203724
n5,ampirik_se,4.481203620962667
n5,kuramsal_se,4.47213595499958
n5,varyans,20.0
n5,sapma,-0.02351396879627643
n30,n,30
n30,B,10000
n30,merkez,9.964918484408004
n30,ampirik_se,1.8267945940749533
n30,kuramsal_se,1.8257418583505538
n30,varyans,3.3333333333333335
n30,sapma,-0.03508151559199568
ek,se25,2
ek,se100,1
ek,hacim_carpani,4
