tekrar,basari
1,18
2,21
3,22
4,19
5,16
6,23
7,21
8,19
9,19
10,19
11,21
12,20
13,26
14,26
15,24
16,26
17,23
18,23
19,19
20,21
21,24
22,17
23,23
24,18
25,20
26,22
27,24
28,25
29,21
30,15
31,19
32,20
33,24
34,16
35,19
36,18
37,16
38,22
39,17
40,22
41,24
42,17
43,22
44,20
45,17
46,22
47,19
48,24
49,22
50,17
51,18
52,16
53,12
54,20
55,15
56,23
57,20
58,16
59,22
60,25
61,20
62,14
63,19
64,22
65,21
66,18
67,13
68,18
69,19
70,21
71,21
72,21
73,20
74,20
75,21
76,19
77,17
78,24
79,16
80,18
81,22
82,26
83,20
84,22
85,20
86,24
87,18
88,22
89,28
90,21
91,25
92,20
93,21
94,22
95,17
96,23
97,20
98,19
99,20
100,23
101,18
102,20
103,21
104,23
105,22
106,23
107,23
108,24
109,24
110,26
111,22
112,26
113,19
114,20
115,21
116,17
117,17
118,22
119,21
120,21
121,28
122,22
123,23
124,19
125,20
126,11
127,21
128,20
129,13
130,19
131,21
132,20
133,12
134,24
135,25
136,20
137,19
138,20
139,22
140,17
141,19
142,16
143,17
144,23
145,25
146,18
147,17
148,14
149,19
150,16
151,17
152,26
153,17
154,22
155,17
156,17
157,16
158,19
159,17
160,12
161,25
162,20
163,18
164,28
165,24
166,17
167,25
168,23
169,21
170,22
171,17
172,16
173,17
174,14
175,22
176,22
177,18
178,25
179,17
180,25
181,24
182,17
183,20
184,23
185,22
186,20
187,15
188,20
189,24
190,21
191,30
192,20
193,20
194,23
195,13
196,20
197,19
198,26
199,18
200,22
201,24
202,18
203,17
204,17
205,14
206,21
207,23
208,21
209,22
210,25
211,17
212,21
213,20
214,17
215,17
216,18
217,24
218,23
219,12
220,20
221,15
222,20
223,21
224,19
225,22
226,20
227,22
228,20
229,18
230,18
231,15
232,30
233,15
234,22
235,26
236,18
237,18
238,17
239,21
240,24
241,26
242,24
243,15
244,20
245,23
246,18
247,18
248,25
249,22
250,21
251,25
252,17
253,15
254,12
255,17
256,22
257,19
258,19
259,18
260,22
261,20
262,21
263,20
264,19
265,21
266,21
267,25
268,18
269,19
270,20
271,13
272,23
273,18
274,25
275,26
276,24
277,20
278,23
279,26
280,21
281,16
282,21
283,23
284,18
285,18
286,18
287,16
288,10
289,24
290,19
291,18
292,11
293,21
294,18
295,23
296,19
297,18
298,16
299,19
300,17
301,25
302,22
303,20
304,20
305,25
306,19
307,18
308,17
309,16
310,21
311,21
312,20
313,13
314,18
315,16
316,15
317,21
318,20
319,26
320,15
321,17
322,15
323,20
324,21
325,18
326,23
327,15
328,16
329,21
330,17
331,19
332,17
333,20
334,16
335,22
336,23
337,23
338,24
339,14
340,17
341,24
342,19
343,16
344,19
345,21
346,14
347,22
348,18
349,18
350,18
351,24
352,18
353,25
354,15
355,19
356,23
357,17
358,23
359,23
360,22
361,16
362,18
363,20
364,24
365,20
366,15
367,21
368,25
369,21
370,20
371,20
372,21
373,20
374,21
375,20
376,13
377,21
378,19
379,22
380,19
381,24
382,22
383,19
384,20
385,20
386,22
387,23
388,17
389,14
390,18
391,22
392,18
393,24
394,22
395,22
396,16
397,18
398,19
399,24
400,21
401,16
402,22
403,19
404,23
405,17
406,18
407,20
408,29
409,14
410,16
411,17
412,18
413,20
414,23
415,22
416,22
417,21
418,18
419,19
420,25
421,14
422,18
423,18
424,14
425,23
426,22
427,25
428,13
429,24
430,19
431,15
432,23
433,20
434,28
435,19
436,29
437,20
438,23
439,20
440,20
441,23
442,18
443,19
444,17
445,19
446,18
447,21
448,28
449,12
450,17
451,18
452,19
453,18
454,27
455,15
456,21
457,18
458,17
459,15
460,21
461,22
462,18
463,22
464,20
465,22
466,19
467,18
468,21
469,13
470,20
471,17
472,25
473,21
474,16
475,17
476,17
477,12
478,21
479,28
480,17
481,22
482,19
483,19
484,22
485,19
486,19
487,17
488,17
489,19
490,15
491,16
492,19
493,18
494,18
495,22
496,18
497,16
498,22
499,16
500,18
501,22
502,18
503,31
504,23
505,16
506,21
507,13
508,21
509,20
510,24
511,20
512,23
513,17
514,15
515,23
516,24
517,22
518,16
519,16
520,22
521,19
522,20
523,15
524,19
525,20
526,20
527,28
528,25
529,22
530,19
531,24
532,19
533,24
534,15
535,21
536,19
537,18
538,20
539,22
540,19
541,19
542,23
543,16
544,18
545,17
546,18
547,18
548,22
549,20
550,18
551,18
552,14
553,25
554,25
555,25
556,18
557,24
558,21
559,22
560,24
561,22
562,20
563,18
564,18
565,18
566,21
567,19
568,16
569,15
570,21
571,20
572,20
573,18
574,18
575,20
576,27
577,19
578,20
579,21
580,17
581,16
582,17
583,22
584,20
585,25
586,25
587,19
588,17
589,22
590,20
591,22
592,22
593,21
594,20
595,25
596,23
597,21
598,17
599,20
600,20
601,19
602,15
603,16
604,21
605,17
606,16
607,20
608,18
609,20
610,22
611,23
612,14
613,18
614,19
615,22
616,17
617,23
618,14
619,17
620,20
621,18
622,22
623,15
624,21
625,21
626,17
627,21
628,22
629,15
630,17
631,19
632,20
633,17
634,22
635,23
636,19
637,17
638,23
639,26
640,17
641,21
642,17
643,20
644,17
645,16
646,16
647,19
648,23
649,17
650,16
651,21
652,20
653,21
654,15
655,18
656,21
657,21
658,22
659,19
660,14
661,30
662,24
663,21
664,17
665,22
666,23
667,22
668,23
669,22
670,18
671,20
672,21
673,17
674,21
675,20
676,25
677,14
678,15
679,19
680,21
681,25
682,21
683,17
684,15
685,28
686,18
687,21
688,17
689,14
690,23
691,22
692,16
693,21
694,23
695,19
696,21
697,25
698,26
699,19
700,24
701,24
702,20
703,18
704,25
705,18
706,22
707,15
708,20
709,24
710,15
711,15
712,20
713,22
714,14
715,21
716,26
717,15
718,21
719,29
720,17
721,21
722,18
723,22
724,17
725,20
726,15
727,25
728,16
729,21
730,26
731,16
732,17
733,18
734,17
735,15
736,19
737,15
738,22
739,20
740,18
741,13
742,21
743,17
744,22
745,15
746,15
747,23
748,18
749,25
750,19
751,24
752,17
753,18
754,24
755,20
756,17
757,25
758,11
759,20
760,23
761,17
762,19
763,23
764,19
765,19
766,24
767,18
768,19
769,21
770,21
771,17
772,27
773,15
774,17
775,22
776,23
777,15
778,24
779,20
780,19
781,21
782,19
783,21
784,17
785,17
786,23
787,15
788,20
789,19
790,20
791,21
792,22
793,21
794,23
795,18
796,22
797,25
798,24
799,19
800,17
801,22
802,22
803,20
804,25
805,21
806,22
807,21
808,23
809,17
810,23
811,16
812,19
813,23
814,20
815,19
816,15
817,18
818,19
819,16
820,15
821,18
822,20
823,18
824,17
825,16
826,25
827,18
828,21
829,21
830,19
831,19
832,23
833,21
834,22
835,21
836,21
837,15
838,21
839,18
840,21
841,18
842,20
843,12
844,21
845,24
846,15
847,27
848,22
849,23
850,17
851,16
852,17
853,25
854,23
855,22
856,15
857,20
858,23
859,15
860,19
861,11
862,24
863,22
864,20
865,20
866,18
867,25
868,15
869,27
870,22
871,19
872,22
873,25
874,18
875,17
876,20
877,17
878,21
879,20
880,20
881,18
882,20
883,13
884,21
885,20
886,16
887,15
888,24
889,27
890,17
891,13
892,20
893,20
894,20
895,20
896,14
897,23
898,22
899,25
900,21
901,19
902,17
903,16
904,18
905,17
906,16
907,23
908,21
909,16
910,17
911,22
912,20
913,22
914,18
915,17
916,22
917,20
918,27
919,14
920,22
921,22
922,15
923,14
924,18
925,22
926,18
927,29
928,22
929,17
930,19
931,14
932,25
933,19
934,12
935,21
936,17
937,16
938,22
939,20
940,27
941,22
942,25
943,18
944,24
945,14
946,22
947,23
948,16
949,21
950,19
951,22
952,20
953,18
954,27
955,14
956,23
957,24
958,18
959,15
960,18
961,22
962,24
963,24
964,17
965,23
966,21
967,18
968,19
969,19
970,22
971,22
972,18
973,15
974,20
975,20
976,23
977,22
978,21
979,14
980,22
981,26
982,27
983,17
984,21
985,26
986,20
987,19
988,21
989,22
990,21
991,20
992,22
993,23
994,22
995,19
996,15
997,19
998,20
999,14
1000,27
1001,20
1002,18
1003,16
1004,18
1005,15
1006,13
1007,28
1008,19
1009,18
1010,21
1011,27
1012,17
1013,18
1014,25
1015,21
1016,21
1017,21
1018,18
1019,21
1020,17
1021,15
1022,18
1023,23
1024,15
1025,23
1026,17
1027,16
1028,23
1029,21
1030,23
1031,21
1032,17
1033,29
1034,29
1035,18
1036,22
1037,23
1038,23
1039,20
1040,18
1041,19
1042,17
1043,22
1044,20
1045,21
1046,20
1047,24
1048,22
1049,22
1050,17
1051,16
1052,18
1053,14
1054,18
1055,21
1056,23
1057,24
1058,16
1059,20
1060,25
1061,21
1062,25
1063,24
1064,17
1065,23
1066,18
1067,20
1068,20
1069,14
1070,20
1071,19
1072,19
1073,23
1074,17
1075,22
1076,25
1077,14
1078,29
1079,25
1080,21
1081,22
1082,21
1083,14
1084,18
1085,18
1086,26
1087,18
1088,19
1089,21
1090,18
1091,27
1092,20
1093,22
1094,13
1095,15
1096,17
1097,18
1098,19
1099,22
1100,20
1101,19
1102,18
1103,24
1104,22
1105,23
1106,16
1107,20
1108,19
1109,21
1110,23
1111,22
1112,21
1113,17
1114,17
1115,16
1116,17
1117,23
1118,19
1119,21
1120,22
1121,21
1122,19
1123,18
1124,19
1125,13
1126,19
1127,18
1128,23
1129,25
1130,19
1131,18
1132,19
1133,17
1134,16
1135,18
1136,22
1137,22
1138,24
1139,20
1140,20
1141,17
1142,25
1143,21
1144,27
1145,24
1146,19
1147,17
1148,16
1149,22
1150,20
1151,16
1152,23
1153,21
1154,17
1155,23
1156,24
1157,20
1158,22
1159,21
1160,19
1161,21
1162,21
1163,15
1164,26
1165,18
1166,21
1167,21
1168,20
1169,19
1170,16
1171,20
1172,18
1173,23
1174,22
1175,19
1176,21
1177,22
1178,21
1179,25
1180,20
1181,19
1182,22
1183,22
1184,25
1185,24
1186,23
1187,15
1188,19
1189,23
1190,15
1191,10
1192,16
1193,25
1194,20
1195,14
1196,20
1197,15
1198,26
1199,18
1200,20
1201,16
1202,21
1203,21
1204,24
1205,20
1206,25
1207,26
1208,24
1209,25
1210,16
1211,26
1212,17
1213,19
1214,17
1215,21
1216,23
1217,14
1218,19
1219,16
1220,13
1221,21
1222,16
1223,19
1224,15
1225,19
1226,21
1227,22
1228,17
1229,20
1230,19
1231,23
1232,20
1233,23
1234,23
1235,15
1236,21
1237,20
1238,14
1239,22
1240,20
1241,19
1242,21
1243,20
1244,28
1245,15
1246,26
1247,16
1248,20
1249,21
1250,16
1251,25
1252,25
1253,22
1254,18
1255,15
1256,22
1257,22
1258,21
1259,15
1260,17
1261,19
1262,26
1263,22
1264,16
1265,19
1266,18
1267,22
1268,23
1269,14
1270,17
1271,18
1272,20
1273,24
1274,16
1275,22
1276,18
1277,17
1278,17
1279,20
1280,15
1281,19
1282,24
1283,23
1284,19
1285,20
1286,19
1287,19
1288,19
1289,16
1290,22
1291,24
1292,15
1293,24
1294,16
1295,24
1296,21
1297,18
1298,24
1299,20
1300,19
1301,16
1302,17
1303,22
1304,16
1305,16
1306,16
1307,15
1308,25
1309,21
1310,19
1311,23
1312,14
1313,19
1314,24
1315,20
1316,25
1317,14
1318,20
1319,18
1320,23
1321,25
1322,22
1323,22
1324,17
1325,19
1326,22
1327,23
1328,24
1329,21
1330,17
1331,20
1332,24
1333,22
1334,14
1335,25
1336,19
1337,18
1338,27
1339,21
1340,15
1341,19
1342,25
1343,21
1344,14
1345,22
1346,19
1347,17
1348,25
1349,22
1350,26
1351,14
1352,21
1353,19
1354,24
1355,22
1356,18
1357,13
1358,20
1359,25
1360,15
1361,15
1362,24
1363,16
1364,16
1365,20
1366,23
1367,18
1368,22
1369,19
1370,18
1371,21
1372,22
1373,15
1374,23
1375,17
1376,22
1377,17
1378,20
1379,26
1380,20
1381,19
1382,21
1383,23
1384,17
1385,16
1386,17
1387,21
1388,23
1389,23
1390,13
1391,16
1392,21
1393,20
1394,30
1395,16
1396,13
1397,17
1398,20
1399,21
1400,17
1401,19
1402,17
1403,22
1404,19
1405,19
1406,22
1407,20
1408,22
1409,21
1410,23
1411,18
1412,20
1413,14
1414,20
1415,15
1416,13
1417,16
1418,14
1419,18
1420,17
1421,17
1422,27
1423,24
1424,24
1425,19
1426,17
1427,21
1428,20
1429,18
1430,18
1431,22
1432,20
1433,28
1434,21
1435,24
1436,17
1437,17
1438,16
1439,15
1440,18
1441,25
1442,20
1443,25
1444,22
1445,23
1446,19
1447,23
1448,23
1449,18
1450,18
1451,23
1452,22
1453,22
1454,26
1455,20
1456,16
1457,21
1458,20
1459,23
1460,18
1461,23
1462,18
1463,23
1464,18
1465,16
1466,22
1467,24
1468,14
1469,19
1470,16
1471,20
1472,21
1473,25
1474,21
1475,18
1476,21
1477,24
1478,23
1479,26
1480,16
1481,19
1482,16
1483,19
1484,20
1485,20
1486,20
1487,24
1488,20
1489,18
1490,16
1491,20
1492,23
1493,25
1494,24
1495,29
1496,19
1497,18
1498,20
1499,19
1500,19
1501,15
1502,19
1503,19
1504,20
1505,19
1506,23
1507,18
1508,21
1509,18
1510,28
1511,22
1512,24
1513,16
1514,26
1515,24
1516,27
1517,24
1518,18
1519,13
1520,17
1521,19
1522,20
1523,22
1524,16
1525,23
1526,18
1527,23
1528,28
1529,16
1530,22
1531,24
1532,18
1533,22
1534,16
1535,25
1536,24
1537,22
1538,19
1539,22
1540,19
1541,23
1542,18
1543,19
1544,17
1545,19
1546,33
1547,23
1548,20
1549,24
1550,20
1551,17
1552,20
1553,19
1554,22
1555,23
1556,18
1557,25
1558,20
1559,16
1560,18
1561,17
1562,18
1563,22
1564,17
1565,24
1566,19
1567,21
1568,17
1569,20
1570,16
1571,12
1572,26
1573,21
1574,15
1575,22
1576,18
1577,21
1578,23
1579,23
1580,19
1581,16
1582,22
1583,21
1584,18
1585,17
1586,18
1587,27
1588,22
1589,17
1590,20
1591,15
1592,16
1593,25
1594,20
1595,19
1596,19
1597,18
1598,18
1599,23
1600,15
1601,20
1602,22
1603,25
1604,22
1605,21
1606,25
1607,17
1608,24
1609,14
1610,25
1611,20
1612,22
1613,14
1614,23
1615,20
1616,19
1617,21
1618,22
1619,24
1620,19
1621,13
1622,22
1623,15
1624,23
1625,18
1626,21
1627,16
1628,16
1629,19
1630,17
1631,25
1632,16
1633,24
1634,15
1635,23
1636,25
1637,20
1638,21
1639,20
1640,18
1641,13
1642,20
1643,23
1644,19
1645,28
1646,19
1647,24
1648,17
1649,15
1650,21
1651,21
1652,17
1653,19
1654,21
1655,18
1656,21
1657,18
1658,18
1659,23
1660,18
1661,18
1662,14
1663,20
1664,18
1665,16
1666,21
1667,21
1668,22
1669,17
1670,12
1671,17
1672,18
1673,26
1674,21
1675,22
