degisken,olcu,deger
bootstrap,n,5
bootstrap,ortalama,5.0
bootstrap,ampirik_varyans,16.4
bootstrap,orneklem_sd,4.527692569068709
bootstrap,kuramsal_boot_se,1.8110770276274832
bootstrap,yeniden_orneklem,3125
bootstrap,boot_merkez,5.0
bootstrap,boot_varyans,3.28
bootstrap,boot_se,1.8110770276274832
bootstrap,boot_min,2.0
bootstrap,boot_max,13.0
bootstrap,alt025,2.6
bootstrap,ust975,9.0
bootstrap,boot_yanlilik,0.0
bootstrap,olasilik_toplami,1.0
permutasyon,n_a,3
permutasyon,n_b,3
permutasyon,ortalama_a,8.0
permutasyon,ortalama_b,3.0
permutasyon,gozlenen_fark,5.0
permutasyon,atama_sayisi,20
permutasyon,uc_atama,2
permutasyon,p_tam,0.1
permutasyon,en_kucuk_fark,-5.0
permutasyon,en_buyuk_fark,5.0
permutasyon,sifir_merkezi,0.0
