sira,ind1,ind2,ind3,ind4,ind5
1,1,1,1,1,1
2,1,1,1,1,2
3,1,1,1,1,3
4,1,1,1,1,4
5,1,1,1,1,5
6,1,1,1,2,1
7,1,1,1,2,2
8,1,1,1,2,3
9,1,1,1,2,4
10,1,1,1,2,5
11,1,1,1,3,1
12,1,1,1,3,2
13,1,1,1,3,3
14,1,1,1,3,4
15,1,1,1,3,5
16,1,1,1,4,1
17,1,1,1,4,2
18,1,1,1,4,3
19,1,1,1,4,4
20,1,1,1,4,5
21,1,1,1,5,1
22,1,1,1,5,2
23,1,1,1,5,3
24,1,1,1,5,4
25,1,1,1,5,5
26,1,1,2,1,1
27,1,1,2,1,2
28,1,1,2,1,3
29,1,1,2,1,4
30,1,1,2,1,5
31,1,1,2,2,1
32,1,1,2,2,2
33,1,1,2,2,3
34,1,1,2,2,4
35,1,1,2,2,5
36,1,1,2,3,1
37,1,1,2,3,2
38,1,1,2,3,3
39,1,1,2,3,4
40,1,1,2,3,5
41,1,1,2,4,1
42,1,1,2,4,2
43,1,1,2,4,3
44,1,1,2,4,4
45,1,1,2,4,5
46,1,1,2,5,1
47,1,1,2,5,2
48,1,1,2,5,3
49,1,1,2,5,4
50,1,1,2,5,5
51,1,1,3,1,1
52,1,1,3,1,2
53,1,1,3,1,3
54,1,1,3,1,4
55,1,1,3,1,5
56,1,1,3,2,1
57,1,1,3,2,2
58,1,1,3,2,3
59,1,1,3,2,4
60,1,1,3,2,5
61,1,1,3,3,1
62,1,1,3,3,2
63,1,1,3,3,3
64,1,1,3,3,4
65,1,1,3,3,5
66,1,1,3,4,1
67,1,1,3,4,2
68,1,1,3,4,3
69,1,1,3,4,4
70,1,1,3,4,5
71,1,1,3,5,1
72,1,1,3,5,2
73,1,1,3,5,3
74,1,1,3,5,4
75,1,1,3,5,5
76,1,1,4,1,1
77,1,1,4,1,2
78,1,1,4,1,3
79,1,1,4,1,4
80,1,1,4,1,5
81,1,1,4,2,1
82,1,1,4,2,2
83,1,1,4,2,3
84,1,1,4,2,4
85,1,1,4,2,5
86,1,1,4,3,1
87,1,1,4,3,2
88,1,1,4,3,3
89,1,1,4,3,4
90,1,1,4,3,5
91,1,1,4,4,1
92,1,1,4,4,2
93,1,1,4,4,3
94,1,1,4,4,4
95,1,1,4,4,5
96,1,1,4,5,1
97,1,1,4,5,2
98,1,1,4,5,3
99,1,1,4,5,4
100,1,1,4,5,5
101,1,1,5,1,1
102,1,1,5,1,2
103,1,1,5,1,3
104,1,1,5,1,4
105,1,1,5,1,5
106,1,1,5,2,1
107,1,1,5,2,2
108,1,1,5,2,3
109,1,1,5,2,4
110,1,1,5,2,5
111,1,1,5,3,1
112,1,1,5,3,2
113,1,1,5,3,3
114,1,1,5,3,4
115,1,1,5,3,5
116,1,1,5,4,1
117,1,1,5,4,2
118,1,1,5,4,3
119,1,1,5,4,4
120,1,1,5,4,5
121,1,1,5,5,1
122,1,1,5,5,2
123,1,1,5,5,3
124,1,1,5,5,4
125,1,1,5,5,5
126,1,2,1,1,1
127,1,2,1,1,2
128,1,2,1,1,3
129,1,2,1,1,4
130,1,2,1,1,5
131,1,2,1,2,1
132,1,2,1,2,2
133,1,2,1,2,3
134,1,2,1,2,4
135,1,2,1,2,5
136,1,2,1,3,1
137,1,2,1,3,2
138,1,2,1,3,3
139,1,2,1,3,4
140,1,2,1,3,5
141,1,2,1,4,1
142,1,2,1,4,2
143,1,2,1,4,3
144,1,2,1,4,4
145,1,2,1,4,5
146,1,2,1,5,1
147,1,2,1,5,2
148,1,2,1,5,3
149,1,2,1,5,4
150,1,2,1,5,5
151,1,2,2,1,1
152,1,2,2,1,2
153,1,2,2,1,3
154,1,2,2,1,4
155,1,2,2,1,5
156,1,2,2,2,1
