degisken,olcu,deger
model,n,12
model,serbestlik,9
model,sse,24
model,sst,336
model,mse,2.6666666666666665
model,artik_sd,1.6329931618554521
model,r_kare,0.9285714285714286
model,duzeltilmis_r_kare,0.91269841269841268
model,f,58.5
model,p_f,6.9570294125474882e-06
model,alfa,0.050000000000000003
model,kritik_t,2.2621571627982049
sabit,katsayi,40
sabit,se,1.2909944487358056
sabit,t,30.983866769659336
sabit,p,1.8623899113625708e-10
sabit,alt,37.079567660659578
sabit,ust,42.920432339340422
saat,katsayi,2
saat,se,0.21081851067789195
saat,t,9.4868329805051381
saat,p,5.5377277918623236e-06
saat,alt,1.5230953960195568
saat,ust,2.4769046039804432
devamsizlik,katsayi,-3
devamsizlik,se,0.57735026918962573
devamsizlik,t,-5.196152422706632
devamsizlik,p,0.00056696431089456052
devamsizlik,alt,-4.3060570468907837
devamsizlik,ust,-1.6939429531092165
vif,saat,1
vif,devamsizlik,1
yeni,saat,5
yeni,devamsizlik,2
yeni,ongoru,44
yeni,h_yeni,0.20833333333333334
yeni,se_ortalama,0.7453559924999299
yeni,se_birey,1.7950549357115013
yeni,ortalama_alt,42.313887602731718
yeni,ortalama_ust,45.686112397268282
yeni,birey_alt,39.939303619563958
yeni,birey_ust,48.060696380436042
satir_01,uydurulan,44
satir_01,artik,1
satir_02,uydurulan,48
satir_02,artik,-1
satir_03,uydurulan,52
satir_03,artik,-1
satir_04,uydurulan,56
satir_04,artik,1
satir_05,uydurulan,41
satir_05,artik,-2
satir_06,uydurulan,45
satir_06,artik,2
satir_07,uydurulan,49
satir_07,artik,2
satir_08,uydurulan,53
satir_08,artik,-2
satir_09,uydurulan,38
satir_09,artik,1
satir_10,uydurulan,42
satir_10,artik,-1
satir_11,uydurulan,46
satir_11,artik,-1
satir_12,uydurulan,50
satir_12,artik,1
