student_id,gpa,pre_program_test,program_participation,grade_improved,program_group,improvement_label
1,2.66,20.0,0,0,comparison,not_improved
2,2.89,22.0,0,0,comparison,not_improved
3,3.28,24.0,0,0,comparison,not_improved
4,2.92,12.0,0,0,comparison,not_improved
5,4.0,21.0,0,1,comparison,improved
6,2.86,17.0,0,0,comparison,not_improved
7,2.76,17.0,0,0,comparison,not_improved
8,2.87,21.0,0,0,comparison,not_improved
9,3.03,25.0,0,0,comparison,not_improved
10,3.92,29.0,0,1,comparison,improved
11,2.63,20.0,0,0,comparison,not_improved
12,3.32,23.0,0,0,comparison,not_improved
13,3.57,23.0,0,0,comparison,not_improved
14,3.26,25.0,0,1,comparison,improved
15,3.53,26.0,0,0,comparison,not_improved
16,2.74,19.0,0,0,comparison,not_improved
17,2.75,25.0,0,0,comparison,not_improved
18,2.83,19.0,0,0,comparison,not_improved
19,3.12,23.0,1,0,program,not_improved
20,3.16,25.0,1,1,program,improved
21,2.06,22.0,1,0,program,not_improved
22,3.62,28.0,1,1,program,improved
23,2.89,14.0,1,0,program,not_improved
24,3.51,26.0,1,0,program,not_improved
25,3.54,24.0,1,1,program,improved
26,2.83,27.0,1,1,program,improved
27,3.39,17.0,1,1,program,improved
28,2.67,24.0,1,0,program,not_improved
29,3.65,21.0,1,1,program,improved
30,4.0,23.0,1,1,program,improved
31,3.1,21.0,1,0,program,not_improved
32,2.39,19.0,1,1,program,improved
