district_id,above_median_count,below_median_count,low_income_pct,asian_students_pct,black_students_pct,hispanic_students_pct,minority_teachers_pct,teacher_experience_years,teacher_salary_thousands,spending_per_pupil_thousands,pupil_teacher_ratio,college_prep_pct,charter_schools_pct,year_round_schools_pct,tested_count,above_median_rate,low_income_group,charter_group
1,452.0,355.0,34.3973,23.2993,14.23528,11.41112,15.91837,14.70646,59.15732,4.445207,21.71025,57.03276,0.0,22.22222,807,0.5600991325898389,middle,no_charter
2,144.0,40.0,17.36507,29.32838,8.234897,9.314884,13.63636,16.08324,59.50397,5.267598,20.44278,64.62264,0.0,0.0,184,0.782608695652174,low,no_charter
3,337.0,234.0,32.64324,9.226386,42.40631,13.54372,28.83436,14.59559,60.56992,5.482922,18.95419,53.94191,0.0,0.0,571,0.5901926444833625,middle,no_charter
4,395.0,178.0,11.90953,13.88309,3.796973,11.44311,11.11111,14.38939,58.33411,4.165093,21.63539,49.06103,0.0,7.142857,573,0.6893542757417103,low,no_charter
5,8.0,57.0,36.88889,12.1875,76.875,7.604167,43.58974,13.90568,63.15364,4.324902,18.77984,52.38095,0.0,0.0,65,0.12307692307692308,middle,no_charter
6,1348.0,899.0,20.93149,28.02351,4.643221,13.80816,15.37849,14.97755,66.97055,3.916104,24.51914,44.91578,0.0,2.380952,2247,0.599910992434357,low,no_charter
7,477.0,887.0,53.26898,8.447858,19.37483,37.90533,25.52553,14.67829,57.62195,4.270903,22.21278,32.28916,0.0,12.12121,1364,0.3497067448680352,high,no_charter
8,565.0,347.0,15.19009,3.665781,2.64968,13.09207,6.203008,13.66197,63.4474,4.309734,24.59026,30.45267,0.0,0.0,912,0.6195175438596491,low,no_charter
9,205.0,320.0,28.21582,10.43042,6.786374,32.3343,13.46154,16.4176,57.84564,4.527603,21.74138,22.64574,0.0,0.0,525,0.3904761904761905,low,no_charter
10,469.0,598.0,32.77897,17.17831,12.48493,28.32329,27.25989,12.51864,57.80141,4.648917,20.2601,26.07099,0.0,0.0,1067,0.4395501405810684,middle,no_charter
11,784.0,2232.0,59.97293,17.51736,50.94093,23.10134,52.34344,16.93283,57.43444,4.693069,21.31489,19.53216,3.296703,13.18681,3016,0.259946949602122,high,has_charter
12,209.0,26.0,0.0,19.74886,1.864536,2.587519,7.407407,15.86979,52.19346,5.248693,18.51182,80.37975,0.0,0.0,235,0.8893617021276595,low,no_charter
13,195.0,361.0,28.12111,12.69201,19.26582,26.84197,13.37209,14.42864,57.24045,3.980589,21.89844,31.65829,0.0,9.090909,556,0.35071942446043164,low,no_charter
14,206.0,482.0,36.99047,10.03236,15.42302,30.74434,13.50763,13.29753,58.41374,4.197615,23.12943,31.15079,0.0,0.0,688,0.29941860465116277,middle,no_charter
15,136.0,116.0,12.92796,7.172996,4.825949,13.2384,6.185567,17.47108,65.57086,5.382009,20.68333,34.83146,0.0,0.0,252,0.5396825396825397,low,no_charter
16,694.0,231.0,4.700895,8.736718,1.745657,6.932029,7.127883,16.18176,67.36755,4.607673,24.65106,39.63415,0.0,0.0,925,0.7502702702702703,low,no_charter
17,204.0,173.0,20.25979,0.485745,0.802534,5.976769,2.439024,15.30949,51.31163,4.025593,24.82292,36.19403,0.0,91.66667,377,0.5411140583554377,low,no_charter
18,31.0,38.0,42.66827,2.836879,0.945627,23.87707,10.6383,11.83962,55.99032,5.151626,17.91209,24.44444,0.0,0.0,69,0.4492753623188406,middle,no_charter
19,601.0,491.0,33.12923,6.305412,2.766154,12.86616,6.17284,14.60144,58.5586,4.004401,22.73008,49.65517,4.347826,26.08696,1092,0.5503663003663004,middle,has_charter
20,64.0,51.0,29.39297,1.071155,0.765111,9.716909,4.477612,14.04527,53.7723,4.518034,21.18506,51.02041,0.0,0.0,115,0.5565217391304348,low,no_charter
21,51.0,88.0,52.99313,6.217371,0.332226,38.72805,7.619048,14.17395,50.69512,4.114065,20.41136,23.27586,0.0,0.0,139,0.3669064748201439,high,no_charter
22,220.0,229.0,35.08836,0.829217,0.388144,4.622442,4.135338,14.30221,55.27874,4.148228,21.91947,25.0,23.07692,15.38462,449,0.48997772828507796,middle,has_charter
23,151.0,158.0,37.20441,0.569948,1.11399,6.321244,5.357143,13.60247,50.66849,3.975448,24.86918,22.97872,0.0,8.333333,309,0.4886731391585761,middle,no_charter
24,36.0,80.0,54.26829,0.549786,0.549786,40.74527,7.407407,14.87105,52.537,4.205362,19.44511,36.28319,0.0,0.0,116,0.3103448275862069,high,no_charter
25,15.0,66.0,65.82397,0.264085,3.873239,58.89085,6.557377,10.92652,46.29179,4.469798,19.52548,37.93103,0.0,0.0,81,0.18518518518518517,high,no_charter
26,5.0,61.0,78.54077,1.282051,0.0,78.4188,20.83333,11.47788,49.26719,3.893337,21.12311,19.23077,0.0,0.0,66,0.07575757575757576,high,no_charter
