paket,ders_bolumu,kapsamli_bolumu,tex_dosyasi,url
b01,1,1,chapters/01-veri-arastirma.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b01
b02,2,2,chapters/02-evren-orneklem.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b02
b03,3,3,chapters/03-betimsel-istatistik.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b03
b04,4,4,chapters/04-ornekleme-dagilimlari.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b04
b05,5,5,chapters/05-mkt-standart-hata.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b05
b06,6,6,chapters/06-ornekleme.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b06
b07,7,7,chapters/07-nokta-tahmini.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b07
b08,8,8,chapters/08-guven-araliklari.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b08
bootstrap,,9,chapters/09-bootstrap-rastgelelestirme.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/bootstrap
b09,9,10,chapters/09-hipotez-testleri.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b09
b10,10,11,chapters/10-hata-guc-tek-orneklem-t.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b10
b11,11,12,chapters/11-bagimsiz-eslestirilmis-t.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b11
b12,12,13,chapters/12-kategorik-kikare.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b12
b13,13,14,chapters/13-korelasyon-regresyon-uygulama.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b13
coklu-regresyon,,15,chapters/15-coklu-regresyon.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/coklu-regresyon
anova,,16,chapters/16-anova.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/anova
b14,14,17,chapters/14-genel-sinava-hazirlik.tex,https://github.com/ibrahimguney/istatistik/tree/main/bolumler/b14
