paket,referans_satiri,spss_surumu,calistirma_tarihi,spv_dosyasi,karsilastirilan_olcu_sayisi,uyusmayan_olculer,hata_uyari,durum
b01,18,,,,,,,calistirilmadi
b02,23,,,,,,,calistirilmadi
b03,26,,,,,,,calistirilmadi
b04,28,,,,,,,calistirilmadi
b05,24,,,,,,,calistirilmadi
b06,29,,,,,,,calistirilmadi
b07,21,,,,,,,calistirilmadi
b08,19,,,,,,,calistirilmadi
b09,20,,,,,,,calistirilmadi
b10,30,,,,,,,calistirilmadi
b11,34,,,,,,,calistirilmadi
b12,32,,,,,,,calistirilmadi
b13,62,,,,,,,calistirilmadi
b14,17,,,,,,,calistirilmadi
bootstrap,26,,,,,,,calistirilmadi
coklu-regresyon,66,,,,,,,calistirilmadi
anova,70,,,,,,,calistirilmadi
