uygulama,kaynak,kayit,degisken
b01,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b02,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b03,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b04,student-mat.csv G3 ampirik dagilimindan 2000 benzetim; ogrenci kaydi DEGIL,2000,3
b05,student-mat.csv G3 ampirik dagilimindan 2000 benzetim; ogrenci kaydi DEGIL,2000,7
b06,"student-mat.csv; gozlem verisi, 395 kayit; sonlu cerceve ogretim orneklemesi",395,13
b07,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b08,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b09,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b10,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b11,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b12,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b13,"student-mat.csv; gozlem verisi, 395 kayit",395,10
b14,"student-mat.csv; gozlem verisi, 395 kayit",395,10
