id,school,sex,age,studytime,absences,g1,g2,g3,pass10
1,1,1,18,2,6,5,6,6,0
2,1,1,17,2,4,5,5,6,0
3,1,1,15,2,10,7,8,10,1
4,1,1,15,3,2,15,14,15,1
5,1,1,16,2,4,6,10,10,1
6,1,2,16,2,10,15,15,15,1
7,1,2,16,2,0,12,12,11,1
8,1,1,17,2,6,6,5,6,0
9,1,2,15,2,0,16,18,19,1
10,1,2,15,2,0,14,15,15,1
11,1,1,15,2,0,10,8,9,0
12,1,1,15,3,4,10,12,12,1
13,1,2,15,1,2,14,14,14,1
14,1,2,15,2,2,10,10,11,1
15,1,2,15,3,0,14,16,16,1
16,1,1,16,1,4,14,14,14,1
17,1,1,16,3,6,13,14,14,1
18,1,1,16,2,4,8,10,10,1
19,1,2,17,1,16,6,5,5,0
20,1,2,16,1,4,8,10,10,1
21,1,2,15,2,0,13,14,15,1
22,1,2,15,1,0,12,15,15,1
23,1,2,16,2,2,15,15,16,1
24,1,2,16,2,0,13,13,12,1
25,1,1,15,3,2,10,9,8,0
26,1,1,16,1,14,6,9,8,0
27,1,2,15,1,2,12,12,11,1
28,1,2,15,1,4,15,16,15,1
29,1,2,16,2,4,11,11,11,1
30,1,2,16,2,16,10,12,11,1
31,1,2,15,2,0,9,11,12,1
32,1,2,15,2,0,17,16,17,1
33,1,2,15,2,0,17,16,16,1
34,1,2,15,2,0,8,10,12,1
35,1,2,16,1,0,12,14,15,1
36,1,1,15,1,0,8,7,6,0
37,1,2,15,3,2,15,16,18,1
38,1,2,16,3,7,15,16,15,1
39,1,1,15,3,2,12,12,11,1
40,1,1,15,1,8,14,13,13,1
41,1,1,16,2,25,7,10,11,1
42,1,2,15,1,8,12,12,12,1
43,1,2,15,2,2,19,18,18,1
44,1,2,15,1,0,8,8,11,1
45,1,1,16,2,14,10,10,9,0
46,1,1,15,2,8,8,8,6,0
47,1,1,16,2,12,11,12,11,1
48,1,2,16,4,4,19,19,20,1
49,1,2,15,2,2,15,15,14,1
50,1,1,15,2,2,7,7,7,0
