id,school,sex,age,studytime,absences,g1,g2,g3,pass10,srs40,strat40,strw
1,1,1,18,2,6,5,6,6,0,0,0,9.971428571428572
2,1,1,17,2,4,5,5,6,0,0,0,9.971428571428572
3,1,1,15,2,10,7,8,10,1,0,0,9.971428571428572
4,1,1,15,3,2,15,14,15,1,0,0,9.971428571428572
5,1,1,16,2,4,6,10,10,1,0,0,9.971428571428572
6,1,2,16,2,10,15,15,15,1,0,0,9.971428571428572
7,1,2,16,2,0,12,12,11,1,0,0,9.971428571428572
8,1,1,17,2,6,6,5,6,0,0,0,9.971428571428572
9,1,2,15,2,0,16,18,19,1,0,0,9.971428571428572
10,1,2,15,2,0,14,15,15,1,1,0,9.971428571428572
11,1,1,15,2,0,10,8,9,0,0,0,9.971428571428572
12,1,1,15,3,4,10,12,12,1,0,1,9.971428571428572
13,1,2,15,1,2,14,14,14,1,0,0,9.971428571428572
14,1,2,15,2,2,10,10,11,1,0,0,9.971428571428572
15,1,2,15,3,0,14,16,16,1,0,0,9.971428571428572
16,1,1,16,1,4,14,14,14,1,0,0,9.971428571428572
17,1,1,16,3,6,13,14,14,1,0,0,9.971428571428572
18,1,1,16,2,4,8,10,10,1,0,0,9.971428571428572
19,1,2,17,1,16,6,5,5,0,0,0,9.971428571428572
20,1,2,16,1,4,8,10,10,1,0,0,9.971428571428572
21,1,2,15,2,0,13,14,15,1,0,0,9.971428571428572
22,1,2,15,1,0,12,15,15,1,0,0,9.971428571428572
23,1,2,16,2,2,15,15,16,1,0,0,9.971428571428572
24,1,2,16,2,0,13,13,12,1,0,0,9.971428571428572
25,1,1,15,3,2,10,9,8,0,0,0,9.971428571428572
26,1,1,16,1,14,6,9,8,0,0,1,9.971428571428572
27,1,2,15,1,2,12,12,11,1,0,0,9.971428571428572
28,1,2,15,1,4,15,16,15,1,0,0,9.971428571428572
29,1,2,16,2,4,11,11,11,1,1,0,9.971428571428572
30,1,2,16,2,16,10,12,11,1,0,0,9.971428571428572
31,1,2,15,2,0,9,11,12,1,0,0,9.971428571428572
32,1,2,15,2,0,17,16,17,1,0,0,9.971428571428572
33,1,2,15,2,0,17,16,16,1,0,0,9.971428571428572
34,1,2,15,2,0,8,10,12,1,0,0,9.971428571428572
35,1,2,16,1,0,12,14,15,1,0,1,9.971428571428572
