source_row,block,treatment,dry_matter_g_m2
2,ONE,No Fertilizer,548.96159680000005
3,ONE,No Fertilizer,386.16412300000002
4,TWO,No Fertilizer,370.85694810000001
5,TWO,No Fertilizer,375.06515880000001
6,THREE,No Fertilizer,370.0821454
7,THREE,No Fertilizer,383.44652380000002
8,ONE,FYM,668.30559440000002
9,ONE,FYM,570.95214380000004
10,TWO,FYM,555.27515389999996
11,TWO,FYM,541.40027970000006
12,THREE,FYM,553.39568240000006
13,THREE,FYM,574.17270599999995
14,ONE,NPK+FYM,641.26878859999999
15,ONE,NPK+FYM,654.53262380000001
16,TWO,NPK+FYM,724.66640170000005
17,TWO,NPK+FYM,778.73370209999996
18,THREE,NPK+FYM,276.80557290000002
19,THREE,NPK+FYM,580.02028129999997
20,ONE,NPK,588.07269589999999
21,ONE,NPK,531.72726929999999
22,TWO,NPK,531.71680060000006
23,TWO,NPK,563.90826930000003
24,THREE,NPK,457.01483530000002
25,THREE,NPK,538.9387911
