SDMVSTRA,SDMVPSU,records,adults,older,weighted_adult,weighted_older,linearized
134,1,215,137,66,7515115.4796290863,2950601.9025042863,0.0031826898077696613
134,2,295,189,78,9137055.2644389048,2550052.6968979333,-0.0004755960616090429
135,1,316,173,59,9860165.7129108608,2599533.6632753047,-0.0011513050607161275
135,2,322,198,69,6149131.246931388,1798549.7345236081,2.5053679480307308e-05
136,1,320,201,88,7880603.905954578,2072489.524957899,-0.00094174746035531381
136,2,375,231,80,8398076.5826140679,2387520.1706646173,-0.00025404990901077394
137,1,306,184,67,5554606.2541578785,1340444.1469695701,-0.0011678554957565673
137,2,248,157,59,8689358.9051799998,1982808.2641826249,-0.0023049434863972309
138,1,308,182,63,6883714.4420710336,1442410.7360140719,-0.0023636848368277373
138,2,297,186,57,5891760.4439859688,1409163.6396630877,-0.0012916996847231277
139,1,278,171,83,8065066.6331172949,2819199.7369861812,0.0019607555509455563
139,2,375,220,116,7386203.9601863855,2822982.8388668387,0.0028055420478015456
140,1,315,203,114,8272773.2593948022,3825903.3196708946,0.0059239103961297723
140,2,297,176,46,7210795.819941029,1316210.3610125456,-0.0032916903045529132
141,1,282,168,58,9606697.9540528823,3288393.4115553549,0.0020436243601079417
141,2,411,223,87,10005088.163071729,2532678.3229724616,-0.0016083027937633181
142,1,349,199,91,10925198.625484684,3775424.4078870919,0.002473666957649957
142,2,386,218,87,12987151.487241082,2996941.6530806022,-0.0033049569390532561
143,1,232,131,50,8292631.9732887009,3337034.1067458359,0.0038519348590204776
143,2,319,196,72,10385725.492687322,3163398.4455010993,0.00056880917671120739
144,1,351,229,71,6542038.0656235702,1191924.0997621359,-0.0029956868204349635
144,2,338,192,38,8302239.6078571333,1062104.355701176,-0.0056887956776831387
145,1,339,188,67,8140963.6845044522,1883047.8882302041,-0.0020531797416182811
145,2,270,184,89,8030387.2249626108,3617165.147968146,0.0053455395596445779
146,1,277,136,53,7553478.7444149153,1942137.431865684,-0.0010883099288123094
146,2,327,205,71,9146260.8005387243,2452158.029052651,-0.0008968881084291529
147,1,335,190,67,4274987.0600961344,1062503.2057994672,-0.00076955960142964833
147,2,261,152,60,9260458.3715230469,3356367.7197415545,0.0027511318322015
148,1,241,171,77,4661389.6901291991,1734196.8555006937,0.0015721383474253969
148,2,269,179,67,3728414.0443430762,882401.97474023304,-0.00085654466371495527
