id,g1
1,5
2,5
3,7
4,15
5,6
6,15
7,12
8,6
9,16
10,14
11,10
12,10
13,14
14,10
15,14
16,14
17,13
18,8
19,6
20,8
21,13
22,12
23,15
24,13
25,10
26,6
27,12
28,15
29,11
30,10
31,9
32,17
33,17
34,8
35,12
36,8
37,15
38,15
39,12
40,14
41,7
42,12
43,19
44,8
45,10
46,8
47,11
48,19
49,15
50,7
51,12
52,11
53,11
54,8
55,10
56,8
57,14
58,14
59,9
60,15
61,10
62,10
63,8
64,10
65,10
66,16
67,13
68,7
69,8
70,16
71,13
72,10
73,8
74,12
75,11
76,9
77,11
78,11
79,8
80,5
81,10
82,11
83,7
84,15
85,9
86,7
87,8
88,13
89,11
90,8
91,7
92,16
93,7
94,11
95,11
96,7
97,11
98,8
99,11
100,7
101,7
102,16
103,10
104,7
105,16
106,10
107,7
108,16
109,10
110,14
111,18
112,7
113,10
114,18
115,9
116,15
117,11
118,13
119,9
120,14
121,16
122,16
123,13
124,14
125,8
126,13
127,7
128,7
129,7
130,18
131,12
132,8
133,10
134,12
135,9
136,11
137,10
138,4
139,14
140,16
141,7
142,9
143,9
144,14
145,5
146,8
147,6
148,10
149,7
150,8
151,6
152,12
153,10
154,5
155,11
156,11
157,16
158,9
159,17
160,10
161,7
162,5
163,7
164,10
165,5
166,12
167,10
168,14
169,6
170,14
171,6
172,13
173,13
174,8
175,10
176,10
177,13
178,6
179,10
180,10
181,9
182,12
183,16
184,9
185,12
186,12
187,11
188,15
189,8
190,8
191,11
192,8
193,7
194,8
195,13
196,14
197,17
198,9
199,18
200,9
201,16
202,8
203,9
204,7
205,10
206,10
207,7
208,11
209,9
210,7
211,8
212,12
213,12
214,6
215,8
216,14
217,6
218,6
219,7
220,9
221,6
222,6
223,16
224,12
225,13
226,9
227,16
228,12
229,10
230,12
231,13
232,11
233,11
234,14
235,9
236,11
237,14
238,13
239,13
240,7
241,12
242,10
243,6
244,13
245,7
246,18
247,12
248,6
249,3
250,13
251,6
252,7
253,6
254,8
255,8
256,7
257,14
258,11
259,15
260,10
261,17
262,8
263,13
264,10
265,9
266,17
267,9
268,12
269,10
270,6
271,9
272,15
273,11
274,15
275,10
276,12
277,10
278,9
279,9
280,10
281,8
282,11
283,12
284,8
285,10
286,12
287,18
288,13
289,15
290,15
291,12
292,15
293,12
294,18
295,14
296,14
297,10
298,10
299,14
300,16
301,12
302,11
303,15
304,17
305,15
306,14
307,17
308,8
309,15
310,12
311,9
312,14
313,13
314,13
315,15
316,13
317,8
318,9
319,11
320,11
321,13
322,11
323,11
324,12
325,16
326,9
327,14
328,11
329,10
330,14
331,9
332,12
333,7
334,8
335,10
336,16
337,14
338,7
339,16
340,9
341,11
342,10
343,16
344,9
345,11
346,13
347,16
348,10
349,13
350,11
351,8
352,13
353,8
354,8
355,13
356,10
357,12
358,12
359,10
360,18
361,13
362,13
363,11
364,16
365,12
366,10
367,13
368,7
369,11
370,14
371,7
372,14
373,13
374,6
375,19
376,8
377,15
378,8
379,15
380,10
381,15
382,7
383,11
384,6
385,6
386,10
387,6
388,7
389,7
390,6
391,9
392,14
393,10
394,11
395,8
