id,g3
395,9
394,10
393,7
392,16
391,9
390,0
389,8
388,0
387,6
386,10
385,5
384,0
383,10
382,7
381,14
380,10
379,15
378,10
377,15
376,10
375,19
374,5
373,11
372,12
371,9
370,11
369,10
368,0
367,13
366,10
365,12
364,15
363,10
362,12
361,13
360,16
359,10
358,11
357,13
356,9
355,11
354,8
353,8
352,13
351,8
350,13
349,15
348,9
347,16
346,14
345,10
344,0
343,15
342,0
341,11
340,10
339,17
338,0
337,13
336,15
335,0
334,0
333,0
332,14
331,8
330,14
329,9
328,10
327,16
326,11
325,15
324,15
323,11
322,9
321,13
320,11
319,10
318,9
317,0
316,11
315,13
314,11
313,11
312,13
311,0
310,10
309,12
308,8
307,18
306,12
305,13
304,18
303,14
302,10
301,11
300,16
299,14
298,8
297,0
296,11
295,14
294,18
293,13
292,15
291,11
290,15
289,14
288,12
287,19
286,11
285,11
284,10
283,12
282,10
281,8
280,10
279,8
278,9
277,9
276,12
275,10
274,14
273,11
272,14
271,9
270,0
269,10
268,11
267,10
266,17
265,0
264,9
263,12
262,8
261,18
260,0
259,14
258,11
257,13
256,8
255,12
254,8
253,8
252,10
251,8
250,15
249,5
248,8
247,13
246,18
245,0
244,12
243,0
242,12
241,12
240,0
239,11
238,12
237,13
236,10
235,6
234,13
233,9
232,11
231,14
230,12
229,9
228,12
227,15
226,7
225,14
224,13
223,17
222,0
221,6
220,10
219,8
218,8
217,4
216,15
215,10
214,8
213,14
212,13
211,8
210,7
209,10
208,13
207,7
206,9
205,11
204,6
203,10
202,10
201,16
200,10
199,18
198,10
197,16
196,15
195,14
194,10
193,8
192,9
191,13
190,10
189,9
188,15
187,11
186,11
185,12
184,8
183,17
182,12
181,8
180,11
179,9
178,6
177,11
176,9
175,9
174,0
173,10
172,16
171,0
170,14
169,0
168,16
167,10
166,12
165,7
164,10
163,0
162,7
161,0
160,12
159,15
158,10
157,13
156,8
155,12
154,0
153,10
152,14
151,0
150,10
149,0
148,11
147,0
146,11
145,0
144,13
143,11
142,9
141,0
140,15
139,12
138,0
137,0
136,0
135,0
134,11
133,12
132,0
131,0
130,18
129,0
128,9
127,11
126,12
125,8
124,13
123,13
122,15
121,15
120,13
119,8
118,13
117,14
116,16
115,9
114,19
113,13
112,10
111,19
110,16
109,13
108,18
107,8
106,11
105,18
104,6
103,14
102,17
101,5
100,8
99,14
98,10
97,15
96,10
95,14
94,10
93,6
92,18
91,8
90,7
89,10
88,14
87,6
86,8
85,10
84,15
83,6
82,11
81,12
80,5
79,10
78,11
77,10
76,10
75,11
74,14
73,5
72,10
71,15
70,16
69,8
68,6
67,12
66,15
65,10
64,9
63,9
62,11
61,11
60,16
59,9
58,15
57,15
56,10
55,13
54,11
53,10
52,13
51,13
50,7
49,14
48,20
47,11
46,6
45,9
44,11
43,18
42,12
41,11
40,13
39,11
38,15
37,18
36,6
35,15
34,12
33,16
32,17
31,12
30,11
29,11
28,15
27,11
26,8
25,8
24,12
23,16
22,15
21,15
20,10
19,5
18,10
17,14
16,14
15,16
14,11
13,14
12,12
11,9
10,15
9,19
8,6
7,11
6,15
5,10
4,15
3,10
2,6
1,6
