id,g1,g3,source_line,difference
1,5,6,2,1
2,5,6,3,1
3,7,10,4,3
4,15,15,5,0
5,6,10,6,4
6,15,15,7,0
7,12,11,8,-1
8,6,6,9,0
9,16,19,10,3
10,14,15,11,1
11,10,9,12,-1
12,10,12,13,2
13,14,14,14,0
14,10,11,15,1
15,14,16,16,2
16,14,14,17,0
17,13,14,18,1
18,8,10,19,2
19,6,5,20,-1
20,8,10,21,2
21,13,15,22,2
22,12,15,23,3
23,15,16,24,1
24,13,12,25,-1
25,10,8,26,-2
26,6,8,27,2
27,12,11,28,-1
28,15,15,29,0
29,11,11,30,0
30,10,11,31,1
31,9,12,32,3
32,17,17,33,0
33,17,16,34,-1
34,8,12,35,4
35,12,15,36,3
36,8,6,37,-2
37,15,18,38,3
38,15,15,39,0
39,12,11,40,-1
40,14,13,41,-1
41,7,11,42,4
42,12,12,43,0
43,19,18,44,-1
44,8,11,45,3
45,10,9,46,-1
46,8,6,47,-2
47,11,11,48,0
48,19,20,49,1
49,15,14,50,-1
50,7,7,51,0
51,12,13,52,1
52,11,13,53,2
53,11,10,54,-1
54,8,11,55,3
55,10,13,56,3
56,8,10,57,2
57,14,15,58,1
58,14,15,59,1
59,9,9,60,0
60,15,16,61,1
61,10,11,62,1
62,10,11,63,1
63,8,9,64,1
64,10,9,65,-1
65,10,10,66,0
66,16,15,67,-1
67,13,12,68,-1
68,7,6,69,-1
69,8,8,70,0
70,16,16,71,0
71,13,15,72,2
72,10,10,73,0
73,8,5,74,-3
74,12,14,75,2
75,11,11,76,0
76,9,10,77,1
77,11,10,78,-1
78,11,11,79,0
79,8,10,80,2
80,5,5,81,0
81,10,12,82,2
82,11,11,83,0
83,7,6,84,-1
84,15,15,85,0
85,9,10,86,1
86,7,8,87,1
87,8,6,88,-2
88,13,14,89,1
89,11,10,90,-1
90,8,7,91,-1
91,7,8,92,1
92,16,18,93,2
93,7,6,94,-1
94,11,10,95,-1
95,11,14,96,3
96,7,10,97,3
97,11,15,98,4
98,8,10,99,2
99,11,14,100,3
100,7,8,101,1
101,7,5,102,-2
102,16,17,103,1
103,10,14,104,4
104,7,6,105,-1
105,16,18,106,2
106,10,11,107,1
107,7,8,108,1
108,16,18,109,2
109,10,13,110,3
110,14,16,111,2
111,18,19,112,1
112,7,10,113,3
113,10,13,114,3
114,18,19,115,1
115,9,9,116,0
116,15,16,117,1
117,11,14,118,3
118,13,13,119,0
119,9,8,120,-1
120,14,13,121,-1
121,16,15,122,-1
122,16,15,123,-1
123,13,13,124,0
124,14,13,125,-1
125,8,8,126,0
126,13,12,127,-1
127,7,11,128,4
128,7,9,129,2
129,7,0,130,-7
130,18,18,131,0
131,12,0,132,-12
132,8,0,133,-8
133,10,12,134,2
134,12,11,135,-1
135,9,0,136,-9
136,11,0,137,-11
137,10,0,138,-10
138,4,0,139,-4
139,14,12,140,-2
140,16,15,141,-1
141,7,0,142,-7
142,9,9,143,0
143,9,11,144,2
144,14,13,145,-1
145,5,0,146,-5
146,8,11,147,3
147,6,0,148,-6
148,10,11,149,1
