district_id,source_line,above,below,total,rate,equal_weight,size_weight,pooled_contribution
1,2,452,355,807,0.560099132589839,0.0033003300330033,0.00301557110881092,0.00168901876230798
2,3,144,40,184,0.782608695652174,0.0033003300330033,0.000687565159877584,0.000538094472947674
3,4,337,234,571,0.590192644483363,0.0033003300330033,0.00213369405592446,0.00125929053738449
4,5,395,178,573,0.68935427574171,0.0033003300330033,0.00214116759027095,0.00147602303343286
5,6,8,57,65,0.123076923076923,0.0033003300330033,0.000242889866261103,2.98941373859819e-05
6,7,1348,899,2247,0.599910992434357,0.0033003300330033,0.00839651583828766,0.00503716214953795
7,8,477,887,1364,0.349706744868035,0.0033003300330033,0.00509695042430991,0.00178243794163917
8,9,565,347,912,0.619517543859649,0.0033003300330033,0.00340793166200194,0.00211127345288497
9,10,205,320,525,0.39047619047619,0.0033003300330033,0.00196180276595506,0.000766037270515786
10,11,469,598,1067,0.439550140581068,0.0033003300330033,0.00398713057385533,0.00175254380425319
11,12,784,2232,3016,0.259946949602122,0.0033003300330033,0.0112700897945152,0.00292962546382623
12,13,209,26,235,0.88936170212766,0.0033003300330033,0.000878140285713218,0.000780984339208777
13,14,195,361,556,0.350719424460432,0.0033003300330033,0.00207764254832574,0.000728669598783309
14,15,206,482,688,0.299418604651163,0.0033003300330033,0.00257089581519444,0.000769774037689034
15,16,136,116,252,0.53968253968254,0.0033003300330033,0.00094166532765843,0.000508200335561692
16,17,694,231,925,0.75027027027027,0.0033003300330033,0.00345650963525416,0.00259331641823393
17,18,204,173,377,0.541114058355438,0.0033003300330033,0.0014087612243144,0.000762300503342538
18,19,31,38,69,0.449275362318841,0.0033003300330033,0.000257836934954094,0.00011583978237068
19,20,601,491,1092,0.5503663003663,0.0033003300330033,0.00408054975318653,0.00224579707112189
20,21,64,51,115,0.556521739130435,0.0033003300330033,0.00042972822492349,0.000239153099087855
21,22,51,88,139,0.366906474820144,0.0033003300330033,0.000519410637081435,0.000190575125835635
22,23,220,229,449,0.489977728285078,0.0033003300330033,0.00167780846078823,0.000822088778114502
23,24,151,158,309,0.488673139158576,0.0033003300330033,0.00115466105653355,0.000564251843160408
24,25,36,80,116,0.310344827586207,0.0033003300330033,0.000433464992096737,0.000134523618236919
25,26,15,66,81,0.185185185185185,0.0033003300330033,0.000302678141033067,5.6051507598716e-05
26,27,5,61,66,0.0757575757575758,0.0033003300330033,0.000246626633434351,1.86838358662387e-05
27,28,541,718,1259,0.429706115965052,0.0033003300330033,0.0047045898711189,0.00202159104072703
28,29,86,104,190,0.452631578947368,0.0033003300330033,0.00070998576291707,0.000321361976899305
29,30,142,180,322,0.440993788819876,0.0033003300330033,0.00120323902978577,0.000530620938601179
30,31,1365,1029,2394,0.570175438596491,0.0033003300330033,0.00894582061275508,0.00510068719148316
31,32,201,447,648,0.310185185185185,0.0033003300330033,0.00242142512826453,0.000751090201822795
32,33,585,1364,1949,0.30015392508979,0.0033003300330033,0.00728295922065984,0.00218600879634993
33,34,1247,170,1417,0.880028228652082,0.0033003300330033,0.00529499908449204,0.00465974866503993
34,35,165,238,403,0.409429280397022,0.0033003300330033,0.00150591717081884,0.000616566583585876
35,36,135,194,329,0.410334346504559,0.0033003300330033,0.00122939639999851,0.000504463568388444
36,37,106,87,193,0.549222797927461,0.0033003300330033,0.000721196064436813,0.00039609732036426
37,38,1496,771,2267,0.659902955447728,0.0033003300330033,0.00847125118175262,0.00559020369117861
38,39,68,204,272,0.25,0.0033003300330033,0.00101640067112338,0.000254100167780846
39,40,55,89,144,0.381944444444444,0.0033003300330033,0.000538094472947674,0.000205522194528625
40,41,1455,3563,5018,0.289956157831806,0.0033003300330033,0.0187510976753571,0.00543699623707546
41,42,84,112,196,0.428571428571429,0.0033003300330033,0.000732406365956556,0.00031388844255281
42,43,136,481,617,0.220421393841167,0.0033003300330033,0.00230558534589385,0.000508200335561692
43,44,6,58,64,0.09375,0.0033003300330033,0.000239153099087855,2.24206030394864e-05
44,45,21,168,189,0.111111111111111,0.0033003300330033,0.000706248995743822,7.84721106382025e-05
45,46,132,420,552,0.239130434782609,0.0033003300330033,0.00206269547963275,0.000493253266868701
46,47,78,212,290,0.268965517241379,0.0033003300330033,0.00108366248024184,0.000291467839513323
47,48,16,130,146,0.10958904109589,0.0033003300330033,0.00054556800729417,5.97882747719638e-05
48,49,211,374,585,0.360683760683761,0.0033003300330033,0.00218600879634993,0.000788457873555272
49,50,82,192,274,0.299270072992701,0.0033003300330033,0.00102387420546988,0.000306414908206314
50,51,16,139,155,0.103225806451613,0.0033003300330033,0.000579198911853399,5.97882747719638e-05
51,52,35,109,144,0.243055555555556,0.0033003300330033,0.000538094472947674,0.000130786851063671
52,53,90,53,143,0.629370629370629,0.0033003300330033,0.000534357705774426,0.000336309045592296
53,54,23,44,67,0.343283582089552,0.0033003300330033,0.000250363400607598,8.59456449846979e-05
54,55,76,62,138,0.550724637681159,0.0033003300330033,0.000515673869908188,0.000283994305166828
55,56,73,110,183,0.398907103825137,0.0033003300330033,0.000683828392704336,0.000272784003647085
56,57,38,50,88,0.431818181818182,0.0033003300330033,0.000328835511245801,0.000141997152583414
57,58,23,86,109,0.211009174311927,0.0033003300330033,0.000407307621884003,8.59456449846979e-05
58,59,40,19,59,0.677966101694915,0.0033003300330033,0.000220469263221616,0.000149470686929909
59,60,67,306,373,0.179624664879357,0.0033003300330033,0.00139381415562141,0.000250363400607598
60,61,91,415,506,0.179841897233202,0.0033003300330033,0.00189080418966335,0.000340045812765544
61,62,36,62,98,0.36734693877551,0.0033003300330033,0.000366203182978278,0.000134523618236918
62,63,133,445,578,0.230103806228374,0.0033003300330033,0.00215985142613719,0.000496990034041949
63,64,19,143,162,0.117283950617284,0.0033003300330033,0.000605356282066133,7.0998576291707e-05
64,65,75,104,179,0.418994413407821,0.0033003300330033,0.000668881324011345,0.00028025753799358
65,66,4,46,50,0.08,0.0033003300330033,0.000186838358662387,1.49470686929909e-05
66,67,126,44,170,0.741176470588235,0.0033003300330033,0.000635250419452115,0.000470832663829215
67,68,104,446,550,0.189090909090909,0.0033003300330033,0.00205522194528625,0.000388623786017765
68,69,45,142,187,0.240641711229947,0.0033003300330033,0.000698775461397327,0.000168154522796148
69,70,75,92,167,0.449101796407186,0.0033003300330033,0.000624040117932372,0.00028025753799358
70,71,68,151,219,0.310502283105023,0.0033003300330033,0.000818352010941254,0.000254100167780846
71,72,58,135,193,0.300518134715026,0.0033003300330033,0.000721196064436813,0.000216732496048369
72,73,156,168,324,0.481481481481481,0.0033003300330033,0.00121071256413227,0.000582935679026647
73,74,43,212,255,0.168627450980392,0.0033003300330033,0.000952875629178173,0.000160680988449653
74,75,208,255,463,0.449244060475162,0.0033003300330033,0.0017301232012137,0.000777247572035529
75,76,18,182,200,0.09,0.0033003300330033,0.000747353434649547,6.72618091184593e-05
76,77,47,44,91,0.516483516483517,0.0033003300330033,0.000340045812765544,0.000175628057142644
77,78,45,152,197,0.228426395939086,0.0033003300330033,0.000736143133129804,0.000168154522796148
78,79,14,147,161,0.0869565217391304,0.0033003300330033,0.000601619514892886,5.23147404254683e-05
79,80,91,74,165,0.551515151515152,0.0033003300330033,0.000616566583585876,0.000340045812765544
80,81,52,154,206,0.252427184466019,0.0033003300330033,0.000769774037689034,0.000194311893008882
81,82,85,62,147,0.578231292517007,0.0033003300330033,0.000549304774467417,0.000317625209726058
82,83,77,39,116,0.663793103448276,0.0033003300330033,0.000433464992096737,0.000287731072340076
83,84,23,38,61,0.377049180327869,0.0033003300330033,0.000227942797568112,8.59456449846979e-05
84,85,8,35,43,0.186046511627907,0.0033003300330033,0.000160680988449653,2.98941373859819e-05
85,86,879,720,1599,0.549718574108818,0.0033003300330033,0.00597509071002313,0.00328461834528476
86,87,640,131,771,0.830090791180285,0.0033003300330033,0.002881047490574,0.00239153099087855
87,88,200,600,800,0.25,0.0033003300330033,0.00298941373859819,0.000747353434649547
88,89,268,761,1029,0.26044703595724,0.0033003300330033,0.00384513342127192,0.00100145360243039
89,90,108,291,399,0.270676691729323,0.0033003300330033,0.00149097010212585,0.000403570854710756
90,91,260,667,927,0.280474649406688,0.0033003300330033,0.00346398316960065,0.000971559465044411
91,92,346,71,417,0.829736211031175,0.0033003300330033,0.00155823191124431,0.00129292144194372
92,93,426,378,804,0.529850746268657,0.0033003300330033,0.00300436080729118,0.00159186281580354
93,94,436,556,992,0.439516129032258,0.0033003300330033,0.00370687303586175,0.00162923048753601
94,95,209,255,464,0.450431034482759,0.0033003300330033,0.00173385996838695,0.000780984339208777
95,96,338,145,483,0.699792960662526,0.0033003300330033,0.00180485854467866,0.00126302730455773
96,97,450,508,958,0.46972860125261,0.0033003300330033,0.00357982295197133,0.00168154522796148
97,98,144,244,388,0.371134020618557,0.0033003300330033,0.00144986566322012,0.000538094472947674
98,99,538,774,1312,0.410060975609756,0.0033003300330033,0.00490263853130103,0.00201038073920728
99,100,71,202,273,0.26007326007326,0.0033003300330033,0.00102013743829663,0.000265310469300589
100,101,130,552,682,0.190615835777126,0.0033003300330033,0.00254847521215496,0.000485779732522206
101,102,125,87,212,0.589622641509434,0.0033003300330033,0.00079219464072852,0.000467095896655967
102,103,1326,1001,2327,0.569832402234637,0.0033003300330033,0.00869545721214748,0.0049549532717265
103,104,339,245,584,0.580479452054795,0.0033003300330033,0.00218227202917668,0.00126676407173098
104,105,222,889,1111,0.1998199819982,0.0033003300330033,0.00415154832947824,0.000829562312460997
105,106,287,39,326,0.880368098159509,0.0033003300330033,0.00121818609847876,0.0010724521787221
106,107,671,157,828,0.810386473429952,0.0033003300330033,0.00309404321944913,0.00250737077324923
107,108,1930,3747,5677,0.339968293112559,0.0033003300330033,0.0212136272425274,0.00721196064436813
108,109,9324,29528,38852,0.239987645423659,0.0033003300330033,0.145180878215021,0.0348416171233619
109,110,113,826,939,0.120340788072417,0.0033003300330033,0.00350882437567962,0.000422254690576994
110,111,144,257,401,0.359102244389027,0.0033003300330033,0.00149844363647234,0.000538094472947674
111,112,377,1716,2093,0.180124223602484,0.0033003300330033,0.00782105369360751,0.0014087612243144
112,113,388,1048,1436,0.270194986072423,0.0033003300330033,0.00536599766078375,0.00144986566322012
113,114,597,81,678,0.880530973451327,0.0033003300330033,0.00253352814346197,0.0022308500024289
114,115,185,903,1088,0.170036764705882,0.0033003300330033,0.00406560268449354,0.000691301927050831
115,116,365,987,1352,0.269970414201183,0.0033003300330033,0.00505210921823094,0.00136392001823542
116,117,575,1408,1983,0.289964699949571,0.0033003300330033,0.00741000930455026,0.00214864112461745
117,118,246,19,265,0.928301886792453,0.0033003300330033,0.00099024330091065,0.000919244724618943
118,119,429,324,753,0.569721115537849,0.0033003300330033,0.00281378568145555,0.00160307311732328
119,120,234,66,300,0.78,0.0033003300330033,0.00112103015197432,0.00087440351853997
120,121,237,139,376,0.63031914893617,0.0033003300330033,0.00140502445714115,0.000885613820059714
121,122,1108,624,1732,0.639722863741339,0.0033003300330033,0.00647208074406508,0.00414033802795849
122,123,194,433,627,0.309409888357257,0.0033003300330033,0.00234295301762633,0.000724932831610061
123,124,258,1585,1843,0.139989148128052,0.0033003300330033,0.00688686190029558,0.000964085930697916
124,125,609,1038,1647,0.36976320582878,0.0033003300330033,0.00615445553433902,0.00227569120850787
125,126,606,607,1213,0.499587798845837,0.0033003300330033,0.0045326985811495,0.00226448090698813
126,127,831,340,1171,0.709649871904355,0.0033003300330033,0.0043757543598731,0.00310525352096887
127,128,185,134,319,0.579937304075235,0.0033003300330033,0.00119202872826603,0.000691301927050831
128,129,109,83,192,0.567708333333333,0.0033003300330033,0.000717459297263565,0.000407307621884003
129,130,242,57,299,0.809364548494983,0.0033003300330033,0.00111729338480107,0.000904297655925952
130,131,298,191,489,0.609406952965235,0.0033003300330033,0.00182727914771814,0.00111355661762783
131,132,48,111,159,0.30188679245283,0.0033003300330033,0.00059414598054639,0.000179364824315891
132,133,362,768,1130,0.320353982300885,0.0033003300330033,0.00422254690576994,0.00135270971671568
133,134,412,152,564,0.730496453900709,0.0033003300330033,0.00210753668571172,0.00153954807537807
134,135,144,133,277,0.51985559566787,0.0033003300330033,0.00103508450698962,0.000538094472947674
135,136,28,24,52,0.538461538461538,0.0033003300330033,0.000194311893008882,0.000104629480850937
136,137,112,113,225,0.497777777777778,0.0033003300330033,0.000840772613980741,0.000418517923403747
137,138,21,17,38,0.552631578947368,0.0033003300330033,0.000141997152583414,7.84721106382025e-05
138,139,98,90,188,0.521276595744681,0.0033003300330033,0.000702512228570574,0.000366203182978278
139,140,240,249,489,0.49079754601227,0.0033003300330033,0.00182727914771814,0.000896824121579457
140,141,67,104,171,0.391812865497076,0.0033003300330033,0.000638987186625363,0.000250363400607598
141,142,13,20,33,0.393939393939394,0.0033003300330033,0.000123313316717175,4.85779732522206e-05
142,143,60,123,183,0.327868852459016,0.0033003300330033,0.000683828392704336,0.000224206030394864
143,144,14,34,48,0.291666666666667,0.0033003300330033,0.000179364824315891,5.23147404254683e-05
144,145,123,332,455,0.27032967032967,0.0033003300330033,0.00170022906382772,0.000459622362309472
145,146,23,85,108,0.212962962962963,0.0033003300330033,0.000403570854710756,8.59456449846979e-05
146,147,33,148,181,0.18232044198895,0.0033003300330033,0.00067635485835784,0.000123313316717175
147,148,37,57,94,0.393617021276596,0.0033003300330033,0.000351256114285287,0.000138260385410166
148,149,19,28,47,0.404255319148936,0.0033003300330033,0.000175628057142644,7.0998576291707e-05
149,150,24,16,40,0.6,0.0033003300330033,0.000149470686929909,8.96824121579457e-05
150,151,45,48,93,0.483870967741935,0.0033003300330033,0.000347519347112039,0.000168154522796148
151,152,149,52,201,0.741293532338308,0.0033003300330033,0.000751090201822795,0.000556778308813913
152,153,255,518,773,0.329883570504528,0.0033003300330033,0.0028885210249205,0.000952875629178173
153,154,105,49,154,0.681818181818182,0.0033003300330033,0.000575462144680151,0.000392360553191012
154,155,107,250,357,0.299719887955182,0.0033003300330033,0.00133402588084944,0.000399834087537508
155,156,60,103,163,0.368098159509202,0.0033003300330033,0.000609093049239381,0.000224206030394864
156,157,21,40,61,0.344262295081967,0.0033003300330033,0.000227942797568112,7.84721106382025e-05
157,158,587,611,1198,0.489983305509182,0.0033003300330033,0.00447664707355079,0.00219348233069642
158,159,58,54,112,0.517857142857143,0.0033003300330033,0.000418517923403746,0.000216732496048369
159,160,300,155,455,0.659340659340659,0.0033003300330033,0.00170022906382772,0.00112103015197432
160,161,1804,888,2692,0.670133729569094,0.0033003300330033,0.0100593772303829,0.00674112798053892
161,162,1473,1534,3007,0.489857000332557,0.0033003300330033,0.0112364588899559,0.00550425804619392
162,163,145,43,188,0.771276595744681,0.0033003300330033,0.000702512228570574,0.000541831240120922
163,164,688,498,1186,0.580101180438449,0.0033003300330033,0.00443180586747182,0.00257089581519444
164,165,1035,956,1991,0.519839276745354,0.0033003300330033,0.00743990344193624,0.00386755402431141
165,166,1238,637,1875,0.660266666666667,0.0033003300330033,0.00700643844983951,0.0046261177604807
166,167,610,2781,3391,0.179887938661162,0.0033003300330033,0.0126713774844831,0.00227942797568112
167,168,1607,756,2363,0.680067710537452,0.0033003300330033,0.0088299808303844,0.00600498484740911
168,169,526,548,1074,0.48975791433892,0.0033003300330033,0.00401328794406807,0.00196553953312831
169,170,1421,378,1799,0.78988326848249,0.0033003300330033,0.00672244414467268,0.00530994615318503
170,171,416,205,621,0.669887278582931,0.0033003300330033,0.00232053241458684,0.00155449514407106
171,172,204,154,358,0.569832402234637,0.0033003300330033,0.00133776264802269,0.000762300503342538
172,173,49,133,182,0.269230769230769,0.0033003300330033,0.000680091625531088,0.000183101591489139
173,174,276,169,445,0.620224719101124,0.0033003300330033,0.00166286139209524,0.00103134773981638
174,175,132,156,288,0.458333333333333,0.0033003300330033,0.00107618894589535,0.000493253266868701
175,176,280,798,1078,0.25974025974026,0.0033003300330033,0.00402823501276106,0.00104629480850937
176,177,54,281,335,0.161194029850746,0.0033003300330033,0.00125181700303799,0.000201785427355378
177,178,53,166,219,0.242009132420091,0.0033003300330033,0.000818352010941254,0.00019804866018213
178,179,849,1273,2122,0.40009425070688,0.0033003300330033,0.0079294199416317,0.00317251533008733
179,180,387,1047,1434,0.269874476987448,0.0033003300330033,0.00535852412643725,0.00144612889604687
180,181,456,629,1085,0.420276497695853,0.0033003300330033,0.00405439238297379,0.00170396583100097
181,182,300,899,1199,0.250208507089241,0.0033003300330033,0.00448038384072404,0.00112103015197432
182,183,644,1656,2300,0.28,0.0033003300330033,0.00859456449846979,0.00240647805957154
183,184,319,907,1226,0.260195758564437,0.0033003300330033,0.00458127655440172,0.00119202872826603
184,185,93,145,238,0.390756302521008,0.0033003300330033,0.000889350587232961,0.000347519347112039
185,186,860,1528,2388,0.360134003350084,0.0033003300330033,0.00892340000971559,0.00321361976899305
186,187,92,214,306,0.300653594771242,0.0033003300330033,0.00114345075501381,0.000343782579938792
187,188,86,776,862,0.0997679814385151,0.0033003300330033,0.00322109330333955,0.000321361976899305
188,189,307,683,990,0.31010101010101,0.0033003300330033,0.00369939950151526,0.00114718752218706
189,190,587,442,1029,0.570456754130224,0.0033003300330033,0.00384513342127192,0.00219348233069642
190,191,290,384,674,0.43026706231454,0.0033003300330033,0.00251858107476897,0.00108366248024184
191,192,177,479,656,0.269817073170732,0.0033003300330033,0.00245131926565052,0.000661407789664849
192,193,1239,1578,2817,0.439829605963791,0.0033003300330033,0.0105264731270389,0.00462985452765395
193,194,555,402,957,0.579937304075235,0.0033003300330033,0.00357608618479808,0.00207390578115249
194,195,154,195,349,0.441260744985673,0.0033003300330033,0.00130413174346346,0.000575462144680151
195,196,82,92,174,0.471264367816092,0.0033003300330033,0.000650197488145106,0.000306414908206314
196,197,1325,2073,3398,0.389935256032961,0.0033003300330033,0.0126975348546958,0.00495121650455325
197,198,1787,1523,3310,0.53987915407855,0.0033003300330033,0.01236869934345,0.0066776029385937
198,199,266,125,391,0.680306905370844,0.0033003300330033,0.00146107596473986,0.000993980068083898
199,200,136,276,412,0.330097087378641,0.0033003300330033,0.00153954807537807,0.000508200335561692
200,201,58,56,114,0.508771929824561,0.0033003300330033,0.000425991457750242,0.000216732496048369
201,202,149,318,467,0.319057815845824,0.0033003300330033,0.00174507026990669,0.000556778308813913
202,203,143,137,280,0.510714285714286,0.0033003300330033,0.00104629480850937,0.000534357705774426
203,204,1002,1130,2132,0.469981238273921,0.0033003300330033,0.00796678761336417,0.00374424070759423
204,205,352,952,1304,0.269938650306748,0.0033003300330033,0.00487274439391505,0.0013153420449832
205,206,407,1852,2259,0.18016821602479,0.0033003300330033,0.00844135704436664,0.00152086423951183
206,207,280,387,667,0.419790104947526,0.0033003300330033,0.00249242370455624,0.00104629480850937
207,208,45,58,103,0.436893203883495,0.0033003300330033,0.000384887018844517,0.000168154522796148
208,209,580,681,1261,0.459952418715305,0.0033003300330033,0.0047120634054654,0.00216732496048369
209,210,368,1382,1750,0.210285714285714,0.0033003300330033,0.00653934255318354,0.00137513031975517
210,211,229,259,488,0.469262295081967,0.0033003300330033,0.0018235423805449,0.000855719682673732
211,212,739,2341,3080,0.239935064935065,0.0033003300330033,0.011509242893603,0.00276147094103008
212,213,354,657,1011,0.350148367952522,0.0033003300330033,0.00377787161215346,0.0013228155793297
213,214,244,382,626,0.389776357827476,0.0033003300330033,0.00233921625045308,0.000911771190272448
214,215,74,106,180,0.411111111111111,0.0033003300330033,0.000672618091184593,0.000276520770820333
215,216,241,241,482,0.5,0.0033003300330033,0.00180112177750541,0.000900560888752704
216,217,328,729,1057,0.310312204351939,0.0033003300330033,0.00394976290212286,0.00122565963282526
217,218,17,64,81,0.209876543209877,0.0033003300330033,0.000302678141033067,6.35250419452115e-05
218,219,473,437,910,0.51978021978022,0.0033003300330033,0.00340045812765544,0.00176749087294618
219,220,352,528,880,0.4,0.0033003300330033,0.00328835511245801,0.0013153420449832
220,221,152,48,200,0.76,0.0033003300330033,0.000747353434649547,0.000567988610333656
221,222,757,853,1610,0.470186335403727,0.0033003300330033,0.00601619514892886,0.00282873275014854
222,223,285,253,538,0.529739776951673,0.0033003300330033,0.00201038073920728,0.0010649786443756
223,224,40,14,54,0.740740740740741,0.0033003300330033,0.000201785427355378,0.000149470686929909
224,225,47,96,143,0.328671328671329,0.0033003300330033,0.000534357705774426,0.000175628057142644
225,226,1785,564,2349,0.759897828863346,0.0033003300330033,0.00877766608995893,0.00667012940424721
226,227,280,229,509,0.550098231827112,0.0033003300330033,0.0019020144911831,0.00104629480850937
227,228,3392,5087,8479,0.400047175374455,0.0033003300330033,0.0316840488619676,0.0126751142516563
228,229,683,1024,1707,0.400117164616286,0.0033003300330033,0.00637866156473389,0.0025522119793282
229,230,357,238,595,0.6,0.0033003300330033,0.0022233764680824,0.00133402588084944
230,231,435,882,1317,0.330296127562642,0.0033003300330033,0.00492132236716727,0.00162549372036277
231,232,330,419,749,0.440587449933244,0.0033003300330033,0.00279883861276255,0.00123313316717175
232,233,1925,1708,3633,0.529865125240848,0.0033003300330033,0.013575675140409,0.00719327680850189
233,234,114,86,200,0.57,0.0033003300330033,0.000747353434649547,0.000425991457750242
234,235,279,355,634,0.44006309148265,0.0033003300330033,0.00236911038783906,0.00104255804133612
235,236,60,133,193,0.310880829015544,0.0033003300330033,0.000721196064436813,0.000224206030394864
236,237,638,1294,1932,0.330227743271222,0.0033003300330033,0.00721943417871463,0.00238405745653206
